Category,ID,Code_Original,Emoji_Code_2nd_Option,Emoji_Name,Emoji_Code_CASI,Emoji_Code_FINAL,Feeling
emotion,136,U+1F49F,U0001F49F,heart_decoration,\\\\U0001F49F\\,\'\\U0001f49f\,Positive
emotion,137,U+2763,U0002763,heart_exclamation,\\\\U0002763\\,\'\\U0002763\,Positive
emotion,138,U+1F494,U0001F494,broken_heart,\\\\U0001F494\\,\'\\U0001f494\,Negative
emotion,139,U+2764 U+FE0F U+200D U+1F525,U0002764 U000FE0F U000200D U0001F525,heart_on_fire,\\\\U0002764 \U000FE0F \U000200D \U0001F525\\,\'\\U0002764 \U000fe0f \U000200d \U0001f525\,Positive
emotion,140,U+2764 U+FE0F U+200D U+1FA79,U0002764 U000FE0F U000200D U0001FA79,mending_heart,\\\\U0002764 \U000FE0F \U000200D \U0001FA79\\,\'\\U0002764 \U000fe0f \U000200d \U0001fa79\,Positive
emotion,141,U+2764,u2764ufe0f,red_heart,\\\\u2764ufe0f\\,\'\\u2764ufe0f\,Positive
emotion,142,U+1F9E1,U0001F9E1,orange_heart,\\\\U0001F9E1\\,\'\\U0001f9e1\,Positive
emotion,143,U+1F49B,U0001F49B,yellow_heart,\\\\U0001F49B\\,\'\\U0001f49b\,Positive
emotion,144,U+1F49A,U0001F49A,green_heart,\\\\U0001F49A\\,\'\\U0001f49a\,Positive
emotion,145,U+1F499,U0001F499,blue_heart,\\\\U0001F499\\,\'\\U0001f499\,Positive
emotion,146,U+1F49C,U0001F49C,purple_heart,\\\\U0001F49C\\,\'\\U0001f49c\,Positive
emotion,147,U+1F90E,U0001F90E,brown_heart,\\\\U0001F90E\\,\'\\U0001f90e\,Positive
emotion,148,U+1F5A4,U0001F5A4,black_heart,\\\\U0001F5A4\\,\'\\U0001f5a4\,Positive
emotion,149,U+1F90D,U0001F90D,white_heart,\\\\U0001F90D\\,\'\\U0001f90d\,Positive
emotion,150,U+1F4AF,U0001F4AF,hundred_points,\\\\U0001F4AF\\,\'\\U0001f4af\,Positive
emotion,151,U+1F4A2,U0001F4A2,anger_symbol,\\\\U0001F4A2\\,\'\\U0001f4a2\,Negative
emotion,152,U+1F4A5,U0001F4A5,collision,\\\\U0001F4A5\\,\'\\U0001f4a5\,Negative
emotion,153,U+1F4AB,U0001F4AB,dizzy,\\\\U0001F4AB\\,\'\\U0001f4ab\,Negative
emotion,154,U+1F4A6,U0001F4A6,sweat_droplets,\\\\U0001F4A6\\,\'\\U0001f4a6\,Positive
emotion,155,U+1F4A8,U0001F4A8,dashing_away,\\\\U0001F4A8\\,\'\\U0001f4a8\,Neutral
emotion,156,U+1F573,U0001F573,hole,\\\\U0001F573\\,\'\\U0001f573\,Neutral
emotion,157,U+1F4A3,U0001F4A3,bomb,\\\\U0001F4A3\\,\'\\U0001f4a3\,Negative
emotion,158,U+1F4AC,U0001F4AC,speech_balloon,\\\\U0001F4AC\\,\'\\U0001f4ac\,Neutral
emotion,159,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,U0001F441 U000FE0F U000200D U0001F5E8 U000FE0F,eye_in_speech_bubble,\\\\U0001F441 \U000FE0F \U000200D \U0001F5E8 \U000FE0F\\,\'\\U0001f441 \U000fe0f \U000200d \U0001f5e8 \U000fe0f\,Negative
emotion,160,U+1F5E8,U0001F5E8,left_speech_bubble,\\\\U0001F5E8\\,\'\\U0001f5e8\,Neutral
emotion,161,U+1F5EF,U0001F5EF,right_anger_bubble,\\\\U0001F5EF\\,\'\\U0001f5ef\,Neutral
emotion,162,U+1F4AD,U0001F4AD,thought_balloon,\\\\U0001F4AD\\,\'\\U0001f4ad\,Negative
emotion,163,U+1F4A4,U0001F4A4,zzz,\\\\U0001F4A4\\,\'\\U0001f4a4\,Neutral
hand-fingers-open,164,U+1F44B,U0001F44B,waving_hand,\\\\U0001F44B\\,\'\\U0001f44b\,Positive
hand-fingers-open,165,U+1F91A,U0001F91A,raised_back_of_hand,\\\\U0001F91A\\,\'\\U0001f91a\,Neutral
hand-fingers-open,166,U+1F590,U0001F590,hand_with_fingers_splayed,\\\\U0001F590\\,\'\\U0001f590\,Positive
hand-fingers-open,167,U+270B,U000270B,raised_hand,\\\\U000270B\\,\'\\U000270b\,Neutral
hand-fingers-open,168,U+1F596,U0001F596,vulcan_salute,\\\\U0001F596\\,\'\\U0001f596\,Positive
hand-fingers-open,169,U+1FAF1,U0001FAF1,rightwards_hand,\\\\U0001FAF1\\,\'\\U0001faf1\,Neutral
hand-fingers-open,170,U+1FAF2,U0001FAF2,leftwards_hand,\\\\U0001FAF2\\,\'\\U0001faf2\,Neutral
hand-fingers-open,171,U+1FAF3,U0001FAF3,palm_down_hand,\\\\U0001FAF3\\,\'\\U0001faf3\,Neutral
hand-fingers-open,172,U+1FAF4,U0001FAF4,palm_up_hand,\\\\U0001FAF4\\,\'\\U0001faf4\,Neutral
hand-fingers-partial,173,U+1F44C,U0001F44C,OK_hand,\\\\U0001F44C\\,\'\\U0001f44c\,Positive
hand-fingers-partial,174,U+1F90C,U0001F90C,pinched_fingers,\\\\U0001F90C\\,\'\\U0001f90c\,Neutral
